,,Versienr,,1.00_G1ATST,1.00_G1ARER,1.00_G1ATOP,1.00_G2ATST,1.00_G2ARER,1.00_G2ATOP,1.00_LEEG,1.00_LEEG,1.00_LEEG,1.00_G3TST,1.00_G3RER,1.00_G3TOP
,,Code,,G1A_TST,G1A_RER,G1A_TOP,G2A_TST,G2A_RER,G2A_TOP,LEEG,LEEG,LEEG,G2C_TST,G2C_RER,G2C_TOP
,,Toepassingsjaar,,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010

CET,CEST
,van,tot
1-1-2010 06:00,1-1-2010 06:00,1-1-2010 07:00,-3.981944444,12.836,0.00001768,0.00005384,13.136,0.00002012,0.00005884,,,,13.136,0.0000201,0.0000588
1-1-2010 07:00,1-1-2010 07:00,1-1-2010 08:00,-3.981944444,13.136,0.00002067,0.00008000,11.836,0.00002324,0.00010073,,,,11.836,0.0000232,0.0001007
1-1-2010 08:00,1-1-2010 08:00,1-1-2010 09:00,-3.981944444,12.036,0.00002235,0.00008261,11.536,0.00002477,0.00009262,,,,11.536,0.0000248,0.0000926
1-1-2010 09:00,1-1-2010 09:00,1-1-2010 10:00,-3.981944444,11.536,0.00002288,0.00005966,14.536,0.00002266,0.00001715,,,,14.536,0.0000227,0.0000172
1-1-2010 10:00,1-1-2010 10:00,1-1-2010 11:00,-3.981944444,11.436,0.00002110,0.00004569,11.436,0.00002377,0.00005516,,,,11.436,0.0000238,0.0000552
1-1-2010 11:00,1-1-2010 11:00,1-1-2010 12:00,-3.981944444,11.636,0.00001942,0.00003687,11.236,0.00002325,0.00005152,,,,11.236,0.0000233,0.0000515
1-1-2010 12:00,1-1-2010 12:00,1-1-2010 13:00,-3.981944444,11.836,0.00001896,0.00003399,11.336,0.00002178,0.00004499,,,,11.336,0.0000218,0.0000450
1-1-2010 13:00,1-1-2010 13:00,1-1-2010 14:00,-3.981944444,11.636,0.00001902,0.00003089,11.236,0.00002147,0.00003883,,,,11.236,0.0000215,0.0000388
