1D9C5E3F9EDBBC874FDFB0AAAC1B86F3
CET,CEST
,van,tot, SPT
01-01-2022 07:00,01-01-2022 06:00,01-01-2022 07:00,-3.186
01-01-2022 08:00,01-01-2022 07:00,01-01-2022 08:00,-3.258
01-01-2022 09:00,01-01-2022 08:00,01-01-2022 09:00,-3.284
01-01-2022 10:00,01-01-2022 09:00,01-01-2022 10:00,-3.015
01-01-2022 11:00,01-01-2022 10:00,01-01-2022 11:00,-2.378
01-01-2022 12:00,01-01-2022 11:00,01-01-2022 12:00,-1.847
01-01-2022 13:00,01-01-2022 12:00,01-01-2022 13:00,-1.595
01-01-2022 14:00,01-01-2022 13:00,01-01-2022 14:00,-1.513
01-01-2022 15:00,01-01-2022 14:00,01-01-2022 15:00,-1.688
01-01-2022 16:00,01-01-2022 15:00,01-01-2022 16:00,-2.115
01-01-2022 17:00,01-01-2022 16:00,01-01-2022 17:00,-2.571
01-01-2022 18:00,01-01-2022 17:00,01-01-2022 18:00,-2.660
01-01-2022 19:00,01-01-2022 18:00,01-01-2022 19:00,-2.787
01-01-2022 20:00,01-01-2022 19:00,01-01-2022 20:00,-2.877
01-01-2022 21:00,01-01-2022 20:00,01-01-2022 21:00,-2.911
01-01-2022 22:00,01-01-2022 21:00,01-01-2022 22:00,-2.974
01-01-2022 23:00,01-01-2022 22:00,01-01-2022 23:00,-2.968
02-01-2022 00:00,01-01-2022 23:00,02-01-2022 00:00,-3.013
02-01-2022 01:00,02-01-2022 00:00,02-01-2022 01:00,-3.202
02-01-2022 02:00,02-01-2022 01:00,02-01-2022 02:00,-3.272
02-01-2022 03:00,02-01-2022 02:00,02-01-2022 03:00,-3.273
02-01-2022 04:00,02-01-2022 03:00,02-01-2022 04:00,-3.371
02-01-2022 05:00,02-01-2022 04:00,02-01-2022 05:00,-3.344
02-01-2022 06:00,02-01-2022 05:00,02-01-2022 06:00,-3.255
02-01-2022 07:00,02-01-2022 06:00,02-01-2022 07:00,-3.271
02-01-2022 08:00,02-01-2022 07:00,02-01-2022 08:00,-3.227
02-01-2022 09:00,02-01-2022 08:00,02-01-2022 09:00,-3.168
02-01-2022 10:00,02-01-2022 09:00,02-01-2022 10:00,-2.860
02-01-2022 11:00,02-01-2022 10:00,02-01-2022 11:00,-2.232
02-01-2022 12:00,02-01-2022 11:00,02-01-2022 12:00,-1.651
02-01-2022 13:00,02-01-2022 12:00,02-01-2022 13:00,-1.275
02-01-2022 14:00,02-01-2022 13:00,02-01-2022 14:00,-1.301
02-01-2022 15:00,02-01-2022 14:00,02-01-2022 15:00,-1.529
02-01-2022 16:00,02-01-2022 15:00,02-01-2022 16:00,-2.006
02-01-2022 17:00,02-01-2022 16:00,02-01-2022 17:00,-2.519
02-01-2022 18:00,02-01-2022 17:00,02-01-2022 18:00,-2.709
02-01-2022 19:00,02-01-2022 18:00,02-01-2022 19:00,-2.823
02-01-2022 20:00,02-01-2022 19:00,02-01-2022 20:00,-2.892
02-01-2022 21:00,02-01-2022 20:00,02-01-2022 21:00,-3.006
02-01-2022 22:00,02-01-2022 21:00,02-01-2022 22:00,-3.073
02-01-2022 23:00,02-01-2022 22:00,02-01-2022 23:00,-3.086
03-01-2022 00:00,02-01-2022 23:00,03-01-2022 00:00,-3.219
03-01-2022 01:00,03-01-2022 00:00,03-01-2022 01:00,-3.219
03-01-2022 02:00,03-01-2022 01:00,03-01-2022 02:00,-3.274
03-01-2022 03:00,03-01-2022 02:00,03-01-2022 03:00,-3.298
03-01-2022 04:00,03-01-2022 03:00,03-01-2022 04:00,-3.363
03-01-2022 05:00,03-01-2022 04:00,03-01-2022 05:00,-3.342
03-01-2022 06:00,03-01-2022 05:00,03-01-2022 06:00,-3.384
03-01-2022 07:00,03-01-2022 06:00,03-01-2022 07:00,-3.468
03-01-2022 08:00,03-01-2022 07:00,03-01-2022 08:00,-3.465
03-01-2022 09:00,03-01-2022 08:00,03-01-2022 09:00,-3.506
03-01-2022 10:00,03-01-2022 09:00,03-01-2022 10:00,-3.212
03-01-2022 11:00,03-01-2022 10:00,03-01-2022 11:00,-2.647
03-01-2022 12:00,03-01-2022 11:00,03-01-2022 12:00,-2.177
03-01-2022 13:00,03-01-2022 12:00,03-01-2022 13:00,-1.897
03-01-2022 14:00,03-01-2022 13:00,03-01-2022 14:00,-1.796
03-01-2022 15:00,03-01-2022 14:00,03-01-2022 15:00,-1.955
03-01-2022 16:00,03-01-2022 15:00,03-01-2022 16:00,-2.368
03-01-2022 17:00,03-01-2022 16:00,03-01-2022 17:00,-2.756
03-01-2022 18:00,03-01-2022 17:00,03-01-2022 18:00,-3.012
03-01-2022 19:00,03-01-2022 18:00,03-01-2022 19:00,-3.184
03-01-2022 20:00,03-01-2022 19:00,03-01-2022 20:00,-3.267
03-01-2022 21:00,03-01-2022 20:00,03-01-2022 21:00,-3.305
03-01-2022 22:00,03-01-2022 21:00,03-01-2022 22:00,-3.366
03-01-2022 23:00,03-01-2022 22:00,03-01-2022 23:00,-3.420
04-01-2022 00:00,03-01-2022 23:00,04-01-2022 00:00,-3.461
04-01-2022 01:00,04-01-2022 00:00,04-01-2022 01:00,-3.526
04-01-2022 02:00,04-01-2022 01:00,04-01-2022 02:00,-3.507
04-01-2022 03:00,04-01-2022 02:00,04-01-2022 03:00,-3.514
04-01-2022 04:00,04-01-2022 03:00,04-01-2022 04:00,-3.585
